marker_EOI_content_after_num,marker_DQT_num,marker_DHT_num,file_markers_num,marker_DQT_size_max,marker_DHT_size_max,file_size,marker_COM_size_max,marker_APP1_size_max,marker_APP12_size_max
0,2,4,12,67,71,166111,0,0,0
0,2,4,11,67,80,117619,0,0,0
0,2,4,11,67,78,87157,0,0,0
0,2,4,11,67,70,136143,0,0,0
0,2,4,12,67,78,142675,0,0,0
0,2,4,11,67,77,130345,0,0,0
0,2,4,11,67,69,86864,0,0,0
0,2,4,12,67,69,190980,0,0,0
0,2,4,11,67,80,110337,0,0,0
0,2,4,12,67,86,127314,0,0,0
0,2,4,12,67,84,134345,0,0,0
0,2,4,11,67,79,119336,0,0,0
0,2,4,11,67,73,159532,0,0,0
0,2,4,11,67,80,152773,0,0,0
0,2,4,13,67,78,93941,12,0,0
0,2,4,12,67,76,112800,0,0,0
0,2,4,12,67,82,185882,0,0,0
0,2,4,11,67,82,130215,0,0,0
0,2,4,12,67,68,210504,0,0,0
0,2,4,11,67,71,115796,0,0,0
0,2,4,12,67,68,123888,0,0,0
0,2,4,12,67,95,113967,0,0,0
0,2,4,12,67,74,111272,0,0,0
0,2,4,11,67,86,79110,0,0,0
0,2,4,11,67,70,190908,0,0,0
0,2,4,11,67,70,193867,0,0,0
0,2,4,11,67,72,167350,0,0,0
0,2,4,12,67,72,97235,0,0,0
0,2,4,12,67,76,77389,0,0,0
0,2,4,12,67,82,135130,0,0,0
0,2,4,11,67,76,33797,0,0,0
0,2,4,11,67,72,163615,0,0,0
0,2,4,11,67,75,164389,0,0,0
0,2,4,11,67,75,70395,0,0,0
0,2,4,11,67,97,134765,0,0,0
0,2,4,12,67,74,113914,0,0,0
0,2,4,11,67,86,151406,0,0,0
0,2,4,11,67,77,141314,0,0,0
0,2,4,12,67,71,118816,0,0,0
0,2,4,11,67,79,153856,0,0,0
0,2,4,12,67,75,90786,0,0,0
0,2,4,11,67,83,172655,0,0,0
0,2,4,11,67,74,119243,0,0,0
0,2,4,11,67,68,84063,0,0,0
